Starting profiler for
PID of cypress renderer: 70303
time, pid, mem, command
15:54:19, 70303, 162M, Cypress Helper (
15:54:25, 70303, 144M, Cypress Helper (
15:54:31, 70303, 148M, Cypress Helper (
15:54:37, 70303, 158M, Cypress Helper (
15:54:44, 70303, 154M, Cypress Helper (
15:54:50, 70303, 156M, Cypress Helper (
15:54:56, 70303, 159M, Cypress Helper (
15:55:02, 70303, 170M, Cypress Helper (
15:55:08, 70303, 166M, Cypress Helper (
15:55:15, 70303, 167M, Cypress Helper (
15:55:21, 70303, 180M, Cypress Helper (
15:55:27, 70303, 192M, Cypress Helper (
15:55:33, 70303, 188M, Cypress Helper (
15:55:39, 70303, 196M, Cypress Helper (
15:55:46, 70303, 218M, Cypress Helper (
15:55:52, 70303, 218M, Cypress Helper (
15:55:58, 70303, 223M, Cypress Helper (
15:56:04, 70303, 234M, Cypress Helper (
15:56:11, 70303, 282M, Cypress Helper (
15:56:17, 70303, 235M, Cypress Helper (
15:56:23, 70303, 257M, Cypress Helper (
15:56:29, 70303, 257M, Cypress Helper (
15:56:36, 70303, 266M, Cypress Helper (
15:56:42, 70303, 261M, Cypress Helper (
15:56:48, 70303, 263M, Cypress Helper (
15:56:54, 70303, 266M, Cypress Helper (
15:57:01, 70303, 253M, Cypress Helper (
15:57:07, 70303, 266M, Cypress Helper (
15:57:13, 70303, 267M, Cypress Helper (
15:57:19, 70303, 267M, Cypress Helper (
15:57:26, 70303, 271M, Cypress Helper (
15:57:32, 70303, 269M, Cypress Helper (
15:57:38, 70303, 277M, Cypress Helper (
15:57:44, 70303, 284M, Cypress Helper (
15:57:50, 70303, 284M, Cypress Helper (
15:57:57, 70303, 277M, Cypress Helper (
15:58:03, 70303, 281M, Cypress Helper (
15:58:09, 70303, 298M, Cypress Helper (
15:58:15, 70303, 293M, Cypress Helper (
15:58:22, 70303, 322M, Cypress Helper (
15:58:28, 70303, 296M, Cypress Helper (
15:58:34, 70303, 299M, Cypress Helper (
15:58:40, 70303, 297M, Cypress Helper (
15:58:47, 70303, 299M, Cypress Helper (
15:58:53, 70303, 309M, Cypress Helper (
15:58:59, 70303, 311M, Cypress Helper (
15:59:05, 70303, 319M, Cypress Helper (
15:59:12, 70303, 320M, Cypress Helper (
15:59:18, 70303, 315M, Cypress Helper (
15:59:24, 70303, 317M, Cypress Helper (
15:59:30, 70303, 328M, Cypress Helper (
15:59:36, 70303, 324M, Cypress Helper (
15:59:43, 70303, 328M, Cypress Helper (
15:59:49, 70303, 337M, Cypress Helper (
15:59:55, 70303, 363M, Cypress Helper (
16:00:01, 70303, 332M, Cypress Helper (
16:00:07, 70303, 338M, Cypress Helper (
16:00:14, 70303, 332M, Cypress Helper (
16:00:20, 70303, 338M, Cypress Helper (
16:00:26, 70303, 355M, Cypress Helper (
16:00:32, 70303, 363M, Cypress Helper (
